DJI,NI,SHS,FTSE,CAC,DAX,KOS
-0.15433873,-0.368661347,-1.195142014,-0.878489384,-0.805242881,-1.114320965,-2.74
2.146189975,1.843490529,-0.262711021,0.424611159,0.752860176,0.202026294,0.75
-0.127944366,-1.771391386,0.955746502,-0.40780985,-0.061026918,0.673160772,-0.43
-2.417657449,0.398994764,-0.605673729,-3.140617675,-2.444514665,-3.313239834,0.16
